hour,th,delay,loss,qlen
00:00,51732.53922692793,12.28776281981982,0.0016012726840607997,5.666666666666668
01:00,50024.357037009,16.031016099099098,0.0013674373194540975,4.288288288288288
02:00,49397.858318945946,21.585967054054045,0.0009312448551359604,6.844594594594594
03:00,49683.14358008109,17.824060225225228,0.00046527755649759025,4.067567567567568
04:00,49996.966842040536,13.371116418918918,0.0014259227816919365,4.479729729729731
05:00,49752.11364818019,11.357313891891891,0.0006555585437504149,3.5630630630630638
06:00,49776.068430198204,14.486186126126125,0.0008957090497973328,5.256756756756757
07:00,50151.96772710812,7.692825094594594,0.001415105208823886,4.905405405405405
08:00,50091.22212006307,6.9801678468468475,0.0010245338104341887,4.0
09:00,50737.14529436486,2.2821345405405413,0.0015325471526745054,1.8783783783783785
10:00,50800.11321785586,7.2369683063063075,-0.00023022455265228245,1.7342342342342345
11:00,51541.10757559459,2.715015689189189,0.0012220748249461995,1.0
12:00,51673.936297846834,5.688763927927928,0.0011658721790314807,1.7297297297297298
13:00,51976.176515990985,2.2867187657657664,0.0009401712457780207,1.7432432432432432
14:00,52346.573340689196,2.9315948243243253,-4.3946592367879143e-05,1.7297297297297298
15:00,51722.95379376577,4.797381342342342,0.0024309873174616064,1.7162162162162165
16:00,51080.98348902702,2.456196256756757,0.0013595810810810812,3.0472972972972974
17:00,49092.30534999099,29.47258945045045,0.0015889819819819822,4.905405405405406
18:00,46951.84292886487,35.12905955855856,0.0018790360360360359,5.878378378378379
19:00,47118.48037002703,27.747373378378377,0.002980027027027027,7.959459459459459
20:00,46356.35151472072,35.477264531531524,0.0030189009009009013,8.216216216216218
21:00,45688.513991040534,47.29826713513515,0.0018145,9.66216216216216
22:00,46642.79118866666,37.12813485585585,0.0011864324324324324,8.734234234234235
23:00,49811.382693337844,34.8694035,0.0013258513513513515,4.95945945945946
